	Indicator_1_1	Evo_1_1	Year_1_1	Indicator_1_2	Evo_1_2	Year_1_2	Indicator_1_3	Evo_1_3	Year_1_3	Indicator_1_4	Evo_1_4	Year_1_4	Indicator_1_5	Evo_1_5	Year_1_5	Indicator_1_6	Evo_1_6	Year_1_6	Indicator_1_7	Evo_1_7	Year_1_7	Indicator_2_1	Evo_2_1	Year_2_1	Indicator_2_2	Evo_2_2	Year_2_2	Indicator_2_3	Evo_2_3	Year_2_3	Indicator_2_4	Evo_2_4	Year_2_4	Indicator_2_5	Evo_2_5	Year_2_5	Indicator_2_6	Year_2_6	Indicator_2_7	Evo_2_7	Year_2_7	Indicator_3_1	Year_3_1	Indicator_3_2	Year_3_2	Indicator_3_3	Evo_3_3	Year_3_3	Indicator_3_4	Evo_3_4	Year_3_4	Indicator_3_5	Year_3_5	Indicator_3_6	Year_3_6	Indicator_4_1	Evo_4_1	Year_4_1	Indicator_4_2	Evo_4_2	Year_4_2	Indicator_4_3	Evo_4_3	Year_4_3
ISL	0.02601	-0.00960	2011-2017	0.0192	0.0937	2011-latest	3.61472	0.03050	2015			latest	82.30	-0.1	latest	175.9083	-21.8774	latest	0.0541	-0.0036	2016 or latest	0.0126	-0.0316	2011-2017 or latest	81.10	6.40	2016	2.9858	0.106697111	2015	9.93140	-4.148409474	2017 or latest	3.04186	-1.92017333	2017	0.4313	2016	 		2017 or latest	4.9224	2015		Late 2000's	59.70	4.9	2016 or latest	4.90179	-4.8527942	2017	0.36309	2015	0.17005	2015	0.3600	0.12	2016	79.180		2015	0.381	-0.048	2018
ISR	0.01443	0.00310	2011-2017	0.0406	0.0222	2011-latest	6.52246	-0.74290	2016			latest	82.50	0.8	latest	316.3624	-9.1193	latest	0.1773	-0.004	2016 or latest	0.0086	-0.0072	2011-2017 or latest	61.10	2.50	2016	4.7567	-0.022693456	2016	21.59333	1.933665133	2017 or latest	2.34056	-1.355838014	2017		2016	61.280	22.53	2017 or latest	11.1693	2015		Late 2000's	56.30		2016 or latest	13.56229	-14.068183	2017		2015	0.15722	2015	0.4400	0.22	2016	72.340		2017	0.275	0.083	2018
ITA	-0.00277	-0.00980	2011-2017	-0.0050	0.0182	2011-latest	5.93356	0.21970	2016	0.0453	-0.0031	latest	83.30	1	latest	501.0524	-7.9986	latest	0.1366	0.0086	2016 or latest	0.0018	0.0019	2011-2017 or latest	43.70	-0.40	2016	2.2500	0.047175685	2016	5.55556	-4.97016774	2017 or latest	11.39167	3.232188553	2017	0.2151	2016	17.690	-0.53	2017 or latest	9.6432	2015	0.4350	Late 2000's	35.50	8.1	2016 or latest	25.11275	1.954981	2017	0.38027	2015	0.26553	2015	0.2400	-0.06	2016	72.930		2018	0.357	0.144	2018
JPN	0.01461	0.00310	2011-2017	-0.0126	-0.0126	2011-latest	6.22395	0.15600	2015			latest	84.10	1.4	latest	395.3967	1.2522	latest	0.1570	-0.004	2016 or latest	0.0097	-0.0039	2011-2017 or latest	58.20	1.60	2016	2.8326	-0.140527029	2017	24.51809	-2.877272265	2017 or latest	3.96838	-1.799860897	2017	0.4460	2016	66.290	-0.65	2017 or latest	10.0614	2015	0.3500	Late 2000's	22.50	3.6	2016 or latest	9.82422	-1.8816812	2014	0.09087	2015	0.48788	2015	0.3600	0.12	2016	52.660	-6.66	2016	0.101	-0.012	2018
KOR	0.02376	-0.02000	2011-2017	0.0242	0.0114	2011-latest	5.10874	-0.43070	2015	0.0599		latest	82.40	1.8	latest	346.8808	26.6635	latest	0.1382	-0.0082	2016 or latest	0.0220	-0.0268	2011-2017 or latest	60.40	1.30	2016	4.3024	-0.492777572	2017	34.61738	-1.946846943	2017 or latest			2017	0.1290	2016	80.220	2.55	2017 or latest	10.1094	2015	0.4000	Late 2000's	53.40	15.2	2016 or latest				0.20582	2015	0.40356	2015	0.2400	0	2016	77.200	1.36	2015	0.170	0.023	2018
LTU	0.04445	-0.04860	2011-2017	0.0565	0.1139	2011-latest	7.49799	2.15450	2016			latest	74.80	1.1	latest	693.4509	-38.5459	latest	0.1685	0.0441	2016 or latest	0.0203	-0.0433	2011-2017 or latest	55.50	6.90	2016	3.7837	-0.522683919	2014	12.47974	1.8371704	2017 or latest	2.40713	-0.679987203	2017	0.1665	2016	40.240	40.24	2017 or latest	11.5622	2015		Late 2000's	23.10	7.5	2016 or latest	11.22066	-6.789991	2017	0.21145	2015	0.23103	2015			2016	50.640	-2.29	2018	0.213	0.022	2018
LUX	0.00215	-0.02400	2011-2017	-0.0029	0.0023	2011-latest	4.87310	0.82900	2016	0.0388	0.0003	latest	82.80	1.7	latest	291.2838	-49.9344	latest	0.1109	0.0279	2016 or latest	0.0004	-0.014	2011-2017 or latest	55.30	0.50	2016	3.1467	-0.20811473	2014	3.40292	-1.189247633	2017 or latest	2.58049	0.884342944	2017	0.1883	2016	 		2017 or latest	20.8056	2015	0.6650	Late 2000's	53.10	2.1	2016 or latest	7.74154	0.5038628	2017		2015	0.20733	2015	0.6800	-0.14	2016	89.660		2018	0.200	0	2018
LVA	0.04034	-0.06080	2011-2017	0.0755	0.1581	2011-latest	6.40766	0.17040	2016	-0.0002		latest	74.70	1	latest	659.2673	-86.3257	latest	0.1679	0.0393	2016 or latest	0.0299	-0.0515	2011-2017 or latest	54.60	5.60	2016	4.0000	-0.476923077	2014	21.12299	2.067345411	2017 or latest	2.67838	-1.002332831	2017	0.0837	2016	76.100	-9.57	2017 or latest	8.7376	2015		Late 2000's	26.40	8.4	2016 or latest	13.85772	-5.704852	2017		2015	0.35241	2015	0.3153	0.0353	2016	54.580	-4.91	2016	0.310	0.1	2018
MEX	0.01560	0.00790	2011-2017	-0.0140	0.031	2011-latest	10.42895	-1.03360	2014			latest	75.40	1.2	latest	289.3045	22.0137	latest	0.1665	-0.0225	2016 or latest	0.0069	0.0019	2011-2017 or latest	57.40	0.70	2016	3.5714	-0.028571429	2017	11.11111	1.111111111	2017 or latest			2017	0.0915	2016	34.840	13.77	2017 or latest	10.9402	2015		Late 2000's	2.50	0	2016 or latest	21.19843	-2.821974	2017		2015	0.12835	2015	0.2800	-0.14	2016	63.430	0.29	2014	0.482	0.22	2018
NLD	0.00858	-0.00710	2011-2017	0.0126	0.0202	2011-latest	4.28235	0.03450	2016	-0.0688		latest	81.60	0.3	latest	400.6074	-32.1236	latest	0.0830	0.017	2016 or latest	0.0066	-0.0078	2011-2017 or latest	60.20	-1.70	2016	3.0197	0.153251031	2014	14.11468	-3.77446524	2017 or latest	3.47944	0.370188007	2017	0.3453	2016	38.330		2017 or latest	12.5245	2015	0.3900	Late 2000's	55.90		2016 or latest	7.54931	0.6740913	2017	0.15587	2015	0.30687	2015	0.5700	-0.09	2016	81.930	6.95	2016	0.360	-0.033	2018
NOR	0.00742	-0.00910	2011-2017	0.0163	0.002	2011-latest	3.94994	0.22370	2016	-0.0300	0.0059	latest	82.50	1.1	latest	217.1018	-76.87	latest	0.0819	0.0048	2016 or latest	0.0098	0.0009	2011-2017 or latest	67.30	-1.80	2016	2.5467	0.210173776	2105	7.12468	-0.656297893	2017 or latest	1.36846	-0.227554484	2017	0.3974	2016	37.960	-2.39	2017 or latest	8.2033	2015	0.1560	Late 2000's	55.30	2.7	2016 or latest	8.81671	0.3589945	2017	0.16858	2015	0.26468	2015	0.6600	-0.02	2016	78.220		2018	0.414	0.018	2018
NZL	0.01546	-0.00860	2011-2017	0.0258	0.0355	2011-latest	5.76624	0.57790	2014	0.0315		latest	81.70	0.7	latest	146.3793	-34.206	latest	0.1090	0.011	2016 or latest	0.0024	-0.012	2011-2017 or latest	66.20	2.30	2016	2.8206	-0.090840336	2017	7.76923	3.235897436	2017 or latest	5.42856	0.908450662	2017		2016	59.980	19.8	2017 or latest	13.6416	2015	0.2900	Late 2000's	42.70		2016 or latest	11.17324	-3.08941	2017	0.20650	2015	0.30403	2015	0.5700	-0.02	2016	79.750	5.54	2016	0.383	0.061	2018
POL	0.03044	-0.01090	2011-2017	0.0299	-0.0187	2011-latest	4.41547	-0.31140	2016	0.0623		latest	78.00	1.2	latest	589.9824	-44.9246	latest	0.1026	-0.0032	2016 or latest	0.0224	-0.0124	2011-2017 or latest	52.70	2.50	2016	3.8089	-0.219929986	2016	9.41788	0.512699777	2017 or latest	1.35683	-0.4147807	2017	0.0817	2016	56.440	-3.68	2017 or latest	13.3638	2015		Late 2000's	12.20	8.4	2016 or latest	13.25548	-2.220492	2017	0.27380	2015	0.34571	2015	0.3800	0.19	2016	55.340	6.42	2018	0.280	0.041	2018
PRT	0.00766	-0.00080	2011-2017	0.0055	0.0254	2011-latest	5.61790	-0.03360	2016			latest	81.20	0.6	latest	410.2712	-26.3697	latest	0.1246	0.0103	2016 or latest	0.0014	-0.0116	2011-2017 or latest	52.00	-0.80	2016	3.9520	0.247572718	2016	14.28571	-0.962408266	2017 or latest	4.12059	-0.347575644	2017	0.1795	2016	86.580	5.45	2017 or latest	14.9075	2015	0.3870	Late 2000's	36.30	9.2	2016 or latest	12.43030	-2.858018	2017		2015	0.38065	2015	0.3500	-0.1	2016	50.920	-7.11	2017	0.348	0.083	2018
SVK	0.02600	-0.03750	2011-2017	-0.0140	-0.0636	2011-latest	3.65699	-0.22840	2016	0.1056	-0.0301	latest	77.30	1.2	latest	555.8839	-77.5357	latest	0.0849	0.0027	2016 or latest	0.0228	-0.0348	2011-2017 or latest	54.20	3.40	2016	3.4408	-0.206579476	2017	13.89918	-1.550674286	2017 or latest	3.29438	0.709980335	2017	0.1789	2016	72.290	6.52	2017 or latest	15.9721	2015		Late 2000's	5.40	2.6	2016 or latest	16.21669	-2.90338	2017	0.16462	2015	0.17536	2015	0.3700	0.21	2016	59.820	0.845	2015	0.200	0.04	2018
SVN	0.01457	-0.02680	2011-2017	-0.0087	-0.0036	2011-latest	3.56861	-0.01220	2016	0.0563		latest	81.30	1.2	latest	412.4790	-3.0702	latest	0.0868	0.0009	2016 or latest	0.0094	-0.0305	2011-2017 or latest	52.00	-1.20	2016	3.3308	-0.011163374	2014	4.99627	4.004535902	2017 or latest	1.08598	0.391627734	2017	0.2217	2016	49.520	0.77	2017 or latest	13.4862	2015		Late 2000's	38.70	4.7	2016 or latest	10.91483	0.170481	2017	0.31183	2015	0.34611	2015	0.2500	-0.23	2016	52.640	-12.96	2015	0.244	0.1	2018
SWE	0.01066	-0.01510	2011-2017	0.0190	-0.0107	2011-latest	4.21905	0.07420	2016			latest	82.40	0.5	latest	226.2218	-62.9744	latest	0.0906	-0.0065	2016 or latest	0.0090	-0.0193	2011-2017 or latest	67.10	1.70	2016	2.2844	-0.020398943	2013	13.42049	-2.514024761	2013	5.47280	-2.288999468	2017	0.4816	2016	39.600	4.94	2017 or latest	12.2485	2015	0.2580	Late 2000's	46.50	0	2016 or latest	8.04163	-1.0140256	2017	0.17526	2015	0.24654	2015	0.4900	-0.07	2016	87.180	2.55	2018	0.461	0.011	2018
TUR	0.04678	0.00850	2011-2017	0.0421	0.0279	2011-latest	7.75247	-0.24480	2015			latest	78.00	3.4	latest	504.3121	16.0475	latest	0.1716	-0.0147	2016 or latest	0.0259	-0.0373	2011-2017 or latest	46.30	1.30	2016	3.5282	-0.269695134	2014	6.88259	3.778378233	2017 or latest	1.24091	0.432979555	2017	0.1033	2016	31.900	-3.57	2017 or latest	9.0405	2015	0.3100	Late 2000's	0.30	0.3	2016 or latest	27.22415	-7.399318	2017	0.56916	2015	0.21835	2015	0.5800	0.02	2016	86.220	-1.37	2017	0.174	0.032	2018
USA	0.01462	-0.00090	2011-2017	0.0194	0.0283	2011-latest	8.50856	0.03920	2016	-0.0014	0.0022	latest	78.60	-0.1	latest	337.8838	-33.11	latest	0.1780	-0.0007	2016 or latest	0.0042	-0.0169	2011-2017 or latest	59.70	1.30	2016	5.0657	0.032173878	2017	18.17216	0.383695741	2017 or latest	1.12651	-0.670903826	2017		2016	17.890	-7.99	2017 or latest	11.4319	2015	0.4104	Late 2000's			2016 or latest	13.28072	-2.572631	2017	0.30045	2015	0.31623	2015	0.3000	-0.09	2016	65.440	-1.22	2018	0.196	0.028	2018
